tau,SCS-3.0,COSMO
112.21477682079802,0.9725,0.8475
113.25413151528114,0.9725,0.8475
114.30311291144787,0.9725,0.8475
115.36181017364785,0.9725,0.8475
116.43031329208767,0.9725,0.8475
117.50871309048075,0.975,0.8475
118.59710123376694,0.975,0.8475
119.69557023590428,0.975,0.8475
120.8042134677329,0.975,0.8475
121.92312516491107,0.975,0.8475
123.05240043592616,0.975,0.8475
124.19213527017834,0.975,0.8475
125.34242654613995,0.975,0.8475
126.50337203959037,0.975,0.8475
127.67507043192657,0.975,0.8475
128.8576213185518,0.975,0.8475
130.05112521734085,0.975,0.8475
131.25568357718427,0.975,0.84875
132.47139878661176,0.975,0.84875
133.69837418249466,0.975,0.84875
134.93671405883066,0.975,0.84875
136.18652367560813,0.975,0.84875
137.44790926775366,0.975,0.84875
138.7209780541621,0.97625,0.84875
140.00583824680976,0.97625,0.84875
141.30259905995337,0.97625,0.84875
142.61137071941283,0.97625,0.84875
143.93226447194064,0.97625,0.84875
145.26539259467813,0.97625,0.84875
146.61086840469844,0.97625,0.84875
147.96880626863964,0.97625,0.84875
149.33932161242518,0.97625,0.84875
150.72253093107557,0.97625,0.84875
152.1185517986105,0.97625,0.84875
153.52750287804227,0.97625,0.84875
154.94950393146317,0.97625,0.84875
156.3846758302246,0.97625,0.84875
157.8331405652118,0.97625,0.84875
159.29502125721228,0.97625,0.84875
160.77044216738236,0.97625,0.84875
162.25952870780873,0.97625,0.84875
163.76240745216873,0.97625,0.84875
165.27920614648954,0.97625,0.84875
166.81005372000593,0.97625,0.84875
168.35508029612024,0.97625,0.84875
169.9144172034626,0.97625,0.84875
171.48819698705393,0.97625,0.84875
173.07655341957258,0.97625,0.84875
174.67962151272457,0.97625,0.84875
176.29753752872057,0.97625,0.84875
177.93043899185773,0.97625,0.84875
179.5784647002095,0.97625,0.84875
181.24175473742378,0.97625,0.84875
182.92045048462938,0.97625,0.84875
184.61469463245476,0.97625,0.84875
186.324631193156,0.97625,0.84875
188.05040551285816,0.97625,0.84875
189.79216428391015,0.97625,0.84875
191.55005555735278,0.97625,0.84875
193.32422875550452,0.97625,0.84875
195.11483468466164,0.97625,0.84875
196.92202554791714,0.97625,0.84875
198.74595495809837,0.97625,0.84875
200.5867779508234,0.97625,0.84875
202.44465099768038,0.97625,0.84875
204.31973201952704,0.97625,0.84875
206.21218039991425,0.97625,0.84875
208.12215699863393,0.97625,0.84875
210.04982416539153,0.97625,0.84875
211.9953457536071,0.9775,0.84875
213.95888713434215,0.9775,0.84875
215.94061521035653,0.9775,0.84875
217.94069843029558,0.97875,0.84875
219.95930680300748,0.97875,0.84875
221.99661191199547,0.97875,0.84875
224.05278693000182,0.97875,0.84875
226.12800663372772,0.97875,0.84875
228.22244741868985,0.97875,0.84875
230.33628731421314,0.97875,0.84875
232.4697059985648,0.97875,0.84875
234.62288481422624,0.97875,0.84875
236.79600678330763,0.97875,0.84875
238.98925662310504,0.97875,0.84875
241.2028207618007,0.97875,0.84875
243.43688735431104,0.97875,0.84875
245.691646298279,0.98,0.84875
247.96728925021577,0.98,0.84875
